Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Use of Deep-Learning Genomics to Discriminate Healthy Individuals from Those with Alzheimer's Disease or Mild Cognitive Impairment.,Li L.; Yang Y.; Zhang Q.; Wang J.; Jiang J.; Neuroimaging Initiative AD.,"Alzheimer's disease (AD) is the most prevalent neurodegenerative disorder and the most common form of dementia in the elderly. Certain genes have been identified as important clinical risk factors for AD, and technological advances in genomic research, such as genome-wide association studies (GWAS), allow for analysis of polymorphisms and have been widely applied to studies of AD. However, shortcomings of GWAS include sensitivity to sample size and hereditary deletions, which result in low classification and predictive accuracy. Therefore, this paper proposes a novel deep-learning genomics approach and applies it to multitasking classification of AD progression, with the goal of identifying novel genetic biomarkers overlooked by traditional GWAS analysis. In this study, we selected genotype data from 1461 subjects enrolled in the Alzheimer's Disease Neuroimaging Initiative, including 622 AD, 473 mild cognitive impairment (MCI), and 366 healthy control (HC) subjects. The proposed deep-learning genomics (DLG) approach consists of three steps: quality control, coding of single-nucleotide polymorphisms, and classification. The ResNet framework was used for the DLG model, and the results were compared with classifications by simple convolutional neural network structure. All data were randomly assigned to one training/validation group and one test group at a ratio of 9 : 1. And fivefold cross-validation was used. We compared classification results from the DLG model to those from traditional GWAS analysis among the three groups. For the AD and HC groups, the accuracy, sensitivity, and specificity of classification were, respectively, 98.78 ± 1.50%, 98.39% ± 2.50%, and 99.44% ± 1.11% using the DLG model, while 71.38% ± 0.63%, 63.13% ± 2.87%, and 85.59% ± 6.66% using traditional GWAS. Similar results were obtained from the other two intergroup classifications. The DLG model can achieve higher accuracy and sensitivity when applied to progression of AD. More importantly, we discovered several novel genetic biomarkers of AD progression, including rs6311 and rs6313 in HTR2A, rs1354269 in NAV2, and rs690705 in RFC3. The roles of these novel loci in AD should be explored in future research.",2021,,Behavioural neurology,2021,,3359103,,10.1155/2021/3359103,34336000,#1565,Li 2021,"",""
Linkage of Alzheimer disease families with Puerto Rican ancestry identifies a chromosome 9 locus.,Rajabli F.; Feliciano-Astacio BE.; Cukier HN.; Wang L.; Griswold AJ.; Hamilton-Nelson KL.; Adams LD.; Rodriguez VC.; Mena PR.; Tejada S.; Celis K.; Whitehead PL.; Van Booven DJ.; Hofmann NK.; Bussies PL.; Prough M.; Chinea A.; Feliciano NI.; Vardarajan BN.; Reitz C.; Lee JH.; Prince MJ.; Jimenez IZ.; Mayeux RP.; Acosta H.; Dalgard CL.; Haines JL.; Vance JM.; Cuccaro ML.; Beecham GW.; Pericak-Vance MA.,"The genetic admixture of Caribbean Hispanics provides an opportunity to discover novel genetic factors in Alzheimer disease (AD). We sought to identify genetic variants for AD through a family-based design using the Puerto Rican (PR) Alzheimer Disease Initiative (PRADI). Whole-genome sequencing (WGS) and parametric linkage analysis were performed for 100 individuals from 23 multiplex PRADI families. Variants were prioritized by minor allele frequency (<0.01), functional potential [combined annotation dependent depletion score (CADD) >10], and co-segregation with AD. Variants were further ranked using an independent PR case-control WGS dataset (PR10/66). A genome-wide significant linkage peak was found in 9p21 with a heterogeneity logarithm of the odds score (HLOD) >5.1, which overlaps with an AD linkage region from two published independent studies. The region harbors C9orf72, but no expanded repeats were observed in the families. Seven variants prioritized by the PRADI families also displayed evidence for association in the PR10/66 (p < 0.05), including a missense variant in UNC13B. Our study demonstrated the importance of family-based design and WGS in genetic study of AD.",2021,08,Neurobiology of aging,104,,115.e1-115.e7,,10.1016/j.neurobiolaging.2021.02.019,33902942,#1622,Rajabli 2021,"",""
An L0 Regularization Method for Imaging Genetics and Whole Genome Association Analysis on Alzheimer's Disease.,Li X.; Lin Y.; Meng X.; Qiu Y.; Hu B.,"Although the neuroimaging measures build a bridge between genetic variants and disease phenotypes, an assessment of single nucleotide variants changes in brain structure and their clinically influence on the progression of Alzheimer's disease remain largely preliminary. Note that each variant has very weak correlation signal to neuroimaging measures or Alzheimer's disease phenotypes. Therefore, traditional sparse regression-based image genetics approaches confront with unresolvable features, relative high regression error or inapplicability of high-dimensional data. Adopting an [Formula: see text] regularization method, we significantly elevate the regression accuracy of imaging genetics compared with group-sparse multitask regression method. With further analysis on the simulation results, we conclude that multiple regression tasks model may be unsuitable for image genetics. In addition, we carried out a whole genome association analysis between genetic variants (about 388 million loci) and phenotypes (cognition normal, mild cognitive impairment and Alzheimer's disease) with using the [Formula: see text] regularization method. After annotating the effect of all variants by Ensembl Variant Effect Predictor (VEP), our method locates 33 missense variants which can explain 40% phenotype variance. Then, we mapped each missense variant to the nearest gene and carried out pathway enrichment analysis. The Notch signaling pathway and Apoptosis pathway have been reported to be related to the formation of Alzheimer's disease.",2021,09,IEEE journal of biomedical and health informatics,25,9,3677-3684,,10.1109/JBHI.2021.3093027,34181562,#1619,Li 2021,"",""
Meta-analysis of genome-wide association studies identifies ancestry-specific associations underlying circulating total tau levels.,Sarnowski C.; Ghanbari M.; Bis JC.; Logue M.; Fornage M.; Mishra A.; Ahmad S.; Beiser AS.; Boerwinkle E.; Bouteloup V.; Chouraki V.; Cupples LA.; Damotte V.; DeCarli CS.; DeStefano AL.; Djoussé L.; Fohner AE.; Franz CE.; Kautz TF.; Lambert JC.; Lyons MJ.; Mosley TH.; Mukamal KJ.; Pase MP.; Portilla Fernandez EC.; Rissman RA.; Satizabal CL.; Vasan RS.; Yaqub A.; Debette S.; Dufouil C.; Launer LJ.; Kremen WS.; Longstreth WT.; Ikram MA.; Seshadri S.,"Circulating total-tau levels can be used as an endophenotype to identify genetic risk factors for tauopathies and related neurological disorders. Here, we confirmed and better characterized the association of the 17q21 MAPT locus with circulating total-tau in 14,721 European participants and identified three novel loci in 953 African American participants (4q31, 5p13, and 6q25) at P < 5 × 10-8. We additionally detected 14 novel loci at P < 5 × 10-7, specific to either Europeans or African Americans. Using whole-exome sequence data in 2,279 European participants, we identified ten genes associated with circulating total-tau when aggregating rare variants. Our genetic study sheds light on genes reported to be associated with neurological diseases including stroke, Alzheimer's, and Parkinson's (F5, MAP1B, and BCAS3), with Alzheimer's pathological hallmarks (ADAMTS12, IL15, and FHIT), or with an important function in the brain (PARD3, ELFN2, UBASH3B, SLIT3, and NSD3), and suggests that the genetic architecture of circulating total-tau may differ according to ancestry.",2022,04,Communications biology,5,1,336,,10.1038/s42003-022-03287-y,35396452,#1610,Sarnowski 2022,"",""
Pleiotropic predisposition to Alzheimer's disease and educational attainment: insights from the summary statistics analysis.,Kulminski AM.; Loiko E.; Loika Y.; Culminskaya I.,"Epidemiological studies report beneficial associations of higher educational attainment (EDU) with Alzheimer's disease (AD). Prior genome-wide association studies (GWAS) also reported variants associated with AD and EDU separately. The analysis of pleiotropic associations with these phenotypes may shed light on EDU-related protection against AD. We performed pleiotropic meta-analyses using Fisher's method and omnibus test applied to summary statistics for single nucleotide polymorphisms (SNPs) associated with AD and EDU in large-scale univariate GWAS at suggestive-effect (5 × 10-8 < p < 0.1) and genome-wide (p ≤ 5 × 10-8) significance levels. We report 53 SNPs that attained p ≤ 5 × 10-8 at least in one of the pleiotropic meta-analyses and were reported in the univariate GWAS at 5 × 10-8 < p < 0.1. Of them, there were 46 pleiotropic SNPs according to Fisher's method. Additionally, Fisher's method identified 25 of 206 SNPs with pleiotropic effects, which attained p ≤ 5 × 10-8 in the univariate GWAS. We showed that a large fraction of the pleiotropic associations was affected by a counterintuitive phenomenon of antagonistic genetic heterogeneity, which explains the increase, rather than decrease, of the significance of the pleiotropic associations in the omnibus test. Functional enrichment analysis showed that apart from cancers, gene set harboring the non-pleiotropic SNPs was characterized by late-onset AD and neurodevelopmental disorders. The pleiotropic gene set was characterized by a broad spectrum of progressive neurological and neuromuscular diseases and immune-mediated conditions, including progressive motor neuropathy, multiple sclerosis, Parkinson's disease, and severe AD. Our results suggest that disentangling genes harboring variants with and without pleiotropic associations with AD and EDU is promising for dissecting heterogeneity in biological mechanisms of AD.",2022,02,GeroScience,44,1,265-280,,10.1007/s11357-021-00484-1,34743297,#1563,Kulminski 2022,"",""
Shared genetic etiology underlying late-onset Alzheimer's disease and posttraumatic stress syndrome.,Lutz MW.; Luo S.; Williamson DE.; Chiba-Falek O.,"Late-onset Alzheimer's disease (LOAD) manifests comorbid neuropsychiatric symptoms and posttraumatic stress disorder (PTSD) is associated with an increased risk for dementia in late life, suggesting the two disorders may share genetic etiologies. We performed genetic pleiotropy analysis using LOAD and PTSD genome-wide association study (GWAS) datasets from white and African-American populations, followed by functional-genomic analyses. We found an enrichment for LOAD across increasingly stringent levels of significance with the PTSD GWAS association (LOAD|PTSD) in the discovery and replication cohorts and a modest enrichment for the reverse conditional association (PTSD|LOAD). LOAD|PTSD association analysis identified and replicated the MS4A genes region. These genes showed similar expression pattern in brain regions affected in LOAD, and across-brain-tissue analysis identified a significant association for MS4A6A. The African-American samples showed moderate enrichment; however, no false discovery rate-significant associations. We demonstrated common genetic signatures for LOAD and PTSD and suggested immune response as a common pathway for these diseases.",2020,09,Alzheimer's & dementia : the journal of the Alzheimer's Association,16,9,1280-1292,,10.1002/alz.12128,32588970,#1578,Lutz 2020,"",""
Rare variant testing of imputed data: an analysis pipeline typified.,Drichel D.; Herold C.; Lacour A.; Ramirez A.; Jessen F.; Maier W.; Noethen MM.; Leber M.; Vaitsiakhovich T.; Becker T.,"Important methodological advancements in rare variant association testing have been made recently, among them collapsing tests, kernel methods and the variable threshold (VT) technique. Typically, rare variants from a region of interest are tested for association as a group ('bin'). Rare variant studies are already routinely performed as whole-exome sequencing studies. As an alternative approach, we propose a pipeline for rare variant analysis of imputed data and develop respective quality control criteria. We provide suggestions for the choice and construction of analysis bins in whole-genome application and support the analysis with implementations of standard burden tests (COLL, CMAT) in our INTERSNP-RARE software. In addition, three rare variant regression tests (REG, FRACREG and COLLREG) are implemented. All tests are accompanied with the VT approach which optimizes the definition of 'rareness'. We integrate kernel tests as implemented in SKAT/SKAT-O into the suggested strategies. Then, we apply our analysis scheme to a genome-wide association study of Alzheimer's disease. Further, we show that our pipeline leads to valid significance testing procedures with controlled type I error rates. Strong association signals surrounding the known APOE locus demonstrate statistical power. In addition, we highlight several suggestive rare variant association findings for follow-up studies, including genomic regions overlapping MCPH1, MED18 and NOTCH3. In summary, we describe and support a straightforward and cost-efficient rare variant analysis pipeline for imputed data and demonstrate its feasibility and validity. The strategy can complement rare variant studies with next generation sequencing data.",2014,,Human heredity,78,3-4,164-78,,10.1159/000368676,25504234,#1492,Drichel 2014,"",""
Identification of genetic heterogeneity of Alzheimer's disease across age.,Lo MT.; Kauppi K.; Fan CC.; Sanyal N.; Reas ET.; Sundar VS.; Lee WC.; Desikan RS.; McEvoy LK.; Chen CH.;  .,"The risk of APOE for Alzheimer's disease (AD) is modified by age. Beyond APOE, the polygenic architecture may also be heterogeneous across age. We aim to investigate age-related genetic heterogeneity of AD and identify genomic loci with differential effects across age. Stratified gene-based genome-wide association studies and polygenic variation analyses were performed in the younger (60-79 years, N = 14,895) and older (≥80 years, N = 6559) age-at-onset groups using Alzheimer's Disease Genetics Consortium data. We showed a moderate genetic correlation (rg = 0.64) between the two age groups, supporting genetic heterogeneity. Heritability explained by variants on chromosome 19 (harboring APOE) was significantly larger in younger than in older onset group (p < 0.05). APOE region, BIN1, OR2S2, MS4A4E, and PICALM were identified at the gene-based genome-wide significance (p < 2.73 × 10-6) with larger effects at younger age (except MS4A4E). For the novel gene OR2S2, we further performed leave-one-out analyses, which showed consistent effects across subsamples. Our results suggest using genetically more homogeneous individuals may help detect additional susceptible loci.",2019,12,Neurobiology of aging,84,,243.e1-243.e9,,10.1016/j.neurobiolaging.2019.02.022,30979435,#1457,Lo 2019,"",""
Identification of Alzheimer risk factors through whole-genome analysis.,Hardy J.; Williams J.,,2010,Jun,Archives of neurology,67,6,663-4,,10.1001/archneurol.2010.97,20558384,#1476,Hardy 2010,"",""
A Bayesian Framework for Generalized Linear Mixed Modeling Identifies New Candidate Loci for Late-Onset Alzheimer's Disease.,Wang X.; Philip VM.; Ananda G.; White CC.; Malhotra A.; Michalski PJ.; Karuturi KRM.; Chintalapudi SR.; Acklin C.; Sasner M.; Bennett DA.; De Jager PL.; Howell GR.; Carter GW.,"Recent technical and methodological advances have greatly enhanced genome-wide association studies (GWAS). The advent of low-cost, whole-genome sequencing facilitates high-resolution variant identification, and the development of linear mixed models (LMM) allows improved identification of putatively causal variants. While essential for correcting false positive associations due to sample relatedness and population stratification, LMMs have commonly been restricted to quantitative variables. However, phenotypic traits in association studies are often categorical, coded as binary case-control or ordered variables describing disease stages. To address these issues, we have devised a method for genomic association studies that implements a generalized LMM (GLMM) in a Bayesian framework, called Bayes-GLMM Bayes-GLMM has four major features: (1) support of categorical, binary, and quantitative variables; (2) cohesive integration of previous GWAS results for related traits; (3) correction for sample relatedness by mixed modeling; and (4) model estimation by both Markov chain Monte Carlo sampling and maximal likelihood estimation. We applied Bayes-GLMM to the whole-genome sequencing cohort of the Alzheimer's Disease Sequencing Project. This study contains 570 individuals from 111 families, each with Alzheimer's disease diagnosed at one of four confidence levels. Using Bayes-GLMM we identified four variants in three loci significantly associated with Alzheimer's disease. Two variants, rs140233081 and rs149372995, lie between PRKAR1B and PDGFA The coded proteins are localized to the glial-vascular unit, and PDGFA transcript levels are associated with Alzheimer's disease-related neuropathology. In summary, this work provides implementation of a flexible, generalized mixed-model approach in a Bayesian framework for association studies.",2018,05,Genetics,209,1,51-64,,10.1534/genetics.117.300673,29507048,#1527,Wang 2018,"",""
Whole-exome sequencing of the BDR cohort: evidence to support the role of the PILRA gene in Alzheimer's disease.,Patel T.; Brookes KJ.; Turton J.; Chaudhury S.; Guetta-Baranes T.; Guerreiro R.; Bras J.; Hernandez D.; Singleton A.; Francis PT.; Hardy J.; Morgan K.,"Late-onset Alzheimer's disease (LOAD) accounts for 95% of all Alzheimer's cases and is genetically complex in nature. Overlapping clinical and neuropathological features between AD, FTD and Parkinson's disease highlight the potential role of genetic pleiotropy across diseases. Recent genome-wide association studies (GWASs) have uncovered 20 new loci for AD risk; however, these exhibit small effect sizes. Using NGS, here we perform association analyses using exome-wide and candidate-gene-driven approaches. Whole-exome sequencing was performed on 132 AD cases and 53 control samples. Exome-wide single-variant association and gene burden tests were performed for 76 640 nonsingleton variants. Samples were also screened for known causative mutations in familial genes in AD and other dementias. Single-variant association and burden analysis was also carried out on variants in known AD and other neurological dementia genes. Tentative single-variant and burden associations were seen in several genes with kinase and protease activity. Exome-wide burden analysis also revealed significant burden of variants in PILRA (P = 3.4 × 10-5 ), which has previously been linked to AD via GWAS, hit ZCWPW1. Screening for causative mutations in familial AD and other dementia genes revealed no pathogenic variants. Variants identified in ABCA7, SLC24A4, CD33 and LRRK2 were nominally associated with disease (P < 0.05) but did not withstand correction for multiple testing. APOE (P = 0.02) and CLU (P = 0.04) variants showed significant burden on AD. In addition, polygenic risk scores (PRS) were able to distinguish between cases and controls with 83.8% accuracy using 3268 variants, sex, age at death and APOE ε4 and ε2 status as predictors.",2018,08,Neuropathology and applied neurobiology,44,5,506-521,,10.1111/nan.12452,29181857,#1523,Patel 2018,"",""
Missense variant in TREML2 protects against Alzheimer's disease.,Benitez BA.; Jin SC.; Guerreiro R.; Graham R.; Lord J.; Harold D.; Sims R.; Lambert JC.; Gibbs JR.; Bras J.; Sassi C.; Harari O.; Bertelsen S.; Lupton MK.; Powell J.; Bellenguez C.; Brown K.; Medway C.; Haddick PC.; van der Brug MP.; Bhangale T.; Ortmann W.; Behrens T.; Mayeux R.; Pericak-Vance MA.; Farrer LA.; Schellenberg GD.; Haines JL.; Turton J.; Braae A.; Barber I.; Fagan AM.; Holtzman DM.; Morris JC.;  .;  .;  .;  .;  .; Williams J.; Kauwe JS.; Amouyel P.; Morgan K.; Singleton A.; Hardy J.; Goate AM.; Cruchaga C.,"TREM and TREM-like receptors are a structurally similar protein family encoded by genes clustered on chromosome 6p21.11. Recent studies have identified a rare coding variant (p.R47H) in TREM2 that confers a high risk for Alzheimer's disease (AD). In addition, common single nucleotide polymorphisms in this genomic region are associated with cerebrospinal fluid biomarkers for AD and a common intergenic variant found near the TREML2 gene has been identified to be protective for AD. However, little is known about the functional variant underlying the latter association or its relationship with the p.R47H. Here, we report comprehensive analyses using whole-exome sequencing data, cerebrospinal fluid biomarker analyses, meta-analyses (16,254 cases and 20,052 controls) and cell-based functional studies to support the role of the TREML2 coding missense variant p.S144G (rs3747742) as a potential driver of the meta-analysis AD-associated genome-wide association studies signal. Additionally, we demonstrate that the protective role of TREML2 in AD is independent of the role of TREM2 gene as a risk factor for AD.",2014,Jun,Neurobiology of aging,35,6,1510.e19-26,,10.1016/j.neurobiolaging.2013.12.010,24439484,#1489,Benitez 2014,"",""
Genome sequencing for early-onset or atypical dementia: high diagnostic yield and frequent observation of multiple contributory alleles.,Cochran JN.; McKinley EC.; Cochran M.; Amaral MD.; Moyers BA.; Lasseigne BN.; Gray DE.; Lawlor JMJ.; Prokop JW.; Geier EG.; Holt JM.; Thompson ML.; Newberry JS.; Yokoyama JS.; Worthey EA.; Geldmacher DS.; Love MN.; Cooper GM.; Myers RM.; Roberson ED.,"We assessed the results of genome sequencing for early-onset dementia. Participants were selected from a memory disorders clinic. Genome sequencing was performed along with C9orf72 repeat expansion testing. All returned sequencing results were Sanger-validated. Prior clinical diagnoses included Alzheimer's disease, frontotemporal dementia, and unspecified dementia. The mean age of onset was 54 (41-76). Fifty percent of patients had a strong family history, 37.5% had some, and 12.5% had no known family history. Nine of 32 patients (28%) had a variant defined as pathogenic or likely pathogenic (P/LP) by American College of Medical Genetics and Genomics standards, including variants in APP, C9orf72, CSF1R, and MAPT Nine patients (including three with P/LP variants) harbored established risk alleles with moderate penetrance (odds ratios of ∼2-5) in ABCA7, AKAP9, GBA, PLD3, SORL1, and TREM2 All six patients harboring these moderate penetrance variants but not P/LP variants also had one or two APOE ε4 alleles. One patient had two APOE ε4 alleles with no other established contributors. In total, 16 patients (50%) harbored one or more genetic variants likely to explain symptoms. We identified variants of uncertain significance (VUSs) in ABI3, ADAM10, ARSA, GRID2IP, MME, NOTCH3, PLCD1, PSEN1, TM2D3, TNK1, TTC3, and VPS13C, also often along with other variants. In summary, genome sequencing for early-onset dementia frequently identified multiple established or possible contributory alleles. These observations add support for an oligogenic model for early-onset dementia.",2019,12,Cold Spring Harbor molecular case studies,5,6,,,10.1101/mcs.a003491,31836585,#1553,Cochran 2019,"",""
Rare coding variants in the phospholipase D3 gene confer risk for Alzheimer's disease.,Cruchaga C.; Karch CM.; Jin SC.; Benitez BA.; Cai Y.; Guerreiro R.; Harari O.; Norton J.; Budde J.; Bertelsen S.; Jeng AT.; Cooper B.; Skorupa T.; Carrell D.; Levitch D.; Hsu S.; Choi J.; Ryten M.; Sassi C.; Bras J.; Gibbs RJ.; Hernandez DG.; Lupton MK.; Powell J.; Forabosco P.; Ridge PG.; Corcoran CD.; Tschanz JT.; Norton MC.; Munger RG.; Schmutz C.; Leary M.; Demirci FY.; Bamne MN.; Wang X.; Lopez OL.; Ganguli M.; Medway C.; Turton J.; Lord J.; Braae A.; Barber I.; Brown K.;  .; Pastor P.; Lorenzo-Betancor O.; Brkanac Z.; Scott E.; Topol E.; Morgan K.; Rogaeva E.; Singleton A.; Hardy J.; Kamboh MI.; George-Hyslop PS.; Cairns N.; Morris JC.; Kauwe JSK.; Goate AM.,"Genome-wide association studies (GWAS) have identified several risk variants for late-onset Alzheimer's disease (LOAD). These common variants have replicable but small effects on LOAD risk and generally do not have obvious functional effects. Low-frequency coding variants, not detected by GWAS, are predicted to include functional variants with larger effects on risk. To identify low-frequency coding variants with large effects on LOAD risk, we carried out whole-exome sequencing (WES) in 14 large LOAD families and follow-up analyses of the candidate variants in several large LOAD case-control data sets. A rare variant in PLD3 (phospholipase D3; Val232Met) segregated with disease status in two independent families and doubled risk for Alzheimer's disease in seven independent case-control series with a total of more than 11,000 cases and controls of European descent. Gene-based burden analyses in 4,387 cases and controls of European descent and 302 African American cases and controls, with complete sequence data for PLD3, reveal that several variants in this gene increase risk for Alzheimer's disease in both populations. PLD3 is highly expressed in brain regions that are vulnerable to Alzheimer's disease pathology, including hippocampus and cortex, and is expressed at significantly lower levels in neurons from Alzheimer's disease brains compared to control brains. Overexpression of PLD3 leads to a significant decrease in intracellular amyloid-β precursor protein (APP) and extracellular Aβ42 and Aβ40 (the 42- and 40-residue isoforms of the amyloid-β peptide), and knockdown of PLD3 leads to a significant increase in extracellular Aβ42 and Aβ40. Together, our genetic and functional data indicate that carriers of PLD3 coding variants have a twofold increased risk for LOAD and that PLD3 influences APP processing. This study provides an example of how densely affected families may help to identify rare variants with large effects on risk for disease or other complex traits.",2014,Jan,Nature,505,7484,550-554,,10.1038/nature12825,24336208,#1488,Cruchaga 2014,"",""
"Contribution to Alzheimer's disease risk of rare variants in TREM2, SORL1, and ABCA7 in 1779 cases and 1273 controls.",Bellenguez C.; Charbonnier C.; Grenier-Boley B.; Quenez O.; Le Guennec K.; Nicolas G.; Chauhan G.; Wallon D.; Rousseau S.; Richard AC.; Boland A.; Bourque G.; Munter HM.; Olaso R.; Meyer V.; Rollin-Sillaire A.; Pasquier F.; Letenneur L.; Redon R.; Dartigues JF.; Tzourio C.; Frebourg T.; Lathrop M.; Deleuze JF.; Hannequin D.; Genin E.; Amouyel P.; Debette S.; Lambert JC.; Campion D.;  .,"We performed whole-exome and whole-genome sequencing in 927 late-onset Alzheimer disease (LOAD) cases, 852 early-onset AD (EOAD) cases, and 1273 controls from France. We assessed the evidence for gene-based association of rare variants with AD in 6 genes for which an association with such variants was previously claimed. When aggregating protein-truncating and missense-predicted damaging variants, we found exome-wide significant association between EOAD risk and rare variants in SORL1, TREM2, and ABCA7. No exome-wide significant signal was obtained in the LOAD sample, and significance of the order of 10-6 was observed in the whole AD group for TREM2. Our study confirms previous gene-level results for TREM2, SORL1, and ABCA7 and provides a clearer insight into the classes of rare variants involved. Despite different effect sizes and varying cumulative minor allele frequencies, the rare protein-truncating and missense-predicted damaging variants in TREM2, SORL1, and ABCA7 contribute similarly to the heritability of EOAD and explain between 1.1% and 1.5% of EOAD heritability each, compared with 9.12% for APOE ε4.",2017,11,Neurobiology of aging,59,,220.e1-220.e9,,10.1016/j.neurobiolaging.2017.07.001,28789839,#1522,Bellenguez 2017,"",""
"Identification of functional variants from whole-exome sequencing, combined with neuroimaging genetics.",Nho K.; Corneveaux JJ.; Kim S.; Lin H.; Risacher SL.; Shen L.; Swaminathan S.; Ramanan VK.; Liu Y.; Foroud T.; Inlow MH.; Siniard AL.; Reiman RA.; Aisen PS.; Petersen RC.; Green RC.; Jack CR.; Weiner MW.; Baldwin CT.; Lunetta K.; Farrer LA.;  .; Furney SJ.; Lovestone S.; Simmons A.; Mecocci P.; Vellas B.; Tsolaki M.; Kloszewska I.; Soininen H.;  .; McDonald BC.; Farlow MR.; Ghetti B.;  .; Huentelman MJ.; Saykin AJ.;  .,,2013,Jul,Molecular psychiatry,18,7,739,,10.1038/mp.2013.81,23787478,#1485,Nho 2013,"",""
Genome-wide linkage analyses of non-Hispanic white families identify novel loci for familial late-onset Alzheimer's disease.,Kunkle BW.; Jaworski J.; Barral S.; Vardarajan B.; Beecham GW.; Martin ER.; Cantwell LS.; Partch A.; Bird TD.; Raskind WH.; DeStefano AL.; Carney RM.; Cuccaro M.; Vance JM.; Farrer LA.; Goate AM.; Foroud T.; Mayeux RP.; Schellenberg GD.; Haines JL.; Pericak-Vance MA.,"Few high penetrance variants that explain risk in late-onset Alzheimer's disease (LOAD) families have been found. We performed genome-wide linkage and identity-by-descent (IBD) analyses on 41 non-Hispanic white families exhibiting likely dominant inheritance of LOAD, and having no mutations at known familial Alzheimer's disease (AD) loci, and a low burden of APOE ε4 alleles. Two-point parametric linkage analysis identified 14 significantly linked regions, including three novel linkage regions for LOAD (5q32, 11q12.2-11q14.1, and 14q13.3), one of which replicates a genome-wide association LOAD locus, the MS4A6A-MS4A4E gene cluster at 11q12.2. Five of the 14 regions (3q25.31, 4q34.1, 8q22.3, 11q12.2-14.1, and 19q13.41) are supported by strong multipoint results (logarithm of odds [LOD*] ≥1.5). Nonparametric multipoint analyses produced an additional significant locus at 14q32.2 (LOD* = 4.18). The 1-LOD confidence interval for this region contains one gene, C14orf177, and the microRNA Mir_320, whereas IBD analyses implicates an additional gene BCL11B, a regulator of brain-derived neurotrophic signaling, a pathway associated with pathogenesis of several neurodegenerative diseases. Examination of these regions after whole-genome sequencing may identify highly penetrant variants for familial LOAD.",2016,Jan,Alzheimer's & dementia : the journal of the Alzheimer's Association,12,1,2-10,,10.1016/j.jalz.2015.05.020,26365416,#1502,Kunkle 2016,"",""
Two rare AKAP9 variants are associated with Alzheimer's disease in African Americans.,Logue MW.; Schu M.; Vardarajan BN.; Farrell J.; Bennett DA.; Buxbaum JD.; Byrd GS.; Ertekin-Taner N.; Evans D.; Foroud T.; Goate A.; Graff-Radford NR.; Kamboh MI.; Kukull WA.; Manly JJ.;  .;  .,"Less is known about the genetic basis of Alzheimer's disease (AD) in African Americans (AAs) than in non-Hispanic whites. Whole exome sequencing (WES) was performed on seven AA AD cases. Disease association with potentially AD-related variants from WES was assessed in an AA discovery cohort of 422 cases and 394 controls. Replication was sought in an AA sample of 1037 cases and 1869 controls from the Alzheimer Disease Genetics Consortium (ADGC). Forty-four single nucleotide polymorphisms (SNPs) from WES passed filtering criteria and were successfully genotyped. Nominally significant (P < .05) association to AD was observed with two African-descent specific AKAP9 SNPs in tight linkage disequilibrium: rs144662445 (P = .014) and rs149979685 (P = .037). These associations were replicated in the ADGC sample (rs144662445: P = .0022, odds ratio [OR] = 2.75; rs149979685: P = .0022, OR = 3.61). Because AKAP9 was not previously linked to AD risk, this study indicates a potential new disease mechanism.",2014,Nov,Alzheimer's & dementia : the journal of the Alzheimer's Association,10,6,609-618.e11,,10.1016/j.jalz.2014.06.010,25172201,#1491,Logue 2014,"",""
Imaging genomics discovery of a new risk variant for Alzheimer's disease in the postsynaptic SHARPIN gene.,Soheili-Nezhad S.; Jahanshad N.; Guelfi S.; Khosrowabadi R.; Saykin AJ.; Thompson PM.; Beckmann CF.; Sprooten E.; Zarei M.;  .,"Molecular mechanisms underlying Alzheimer's disease (AD) are difficult to investigate, partly because diagnosis lags behind the insidious pathological processes. Therefore, identifying AD neuroimaging markers and their genetic modifiers may help study early mechanisms of neurodegeneration. We aimed to identify brain regions of the highest vulnerability to AD using a data-driven search in the AD Neuroimaging Initiative (ADNI, n = 1,100 subjects), and further explored genetic variants affecting this critical brain trait using both ADNI and the younger UK Biobank cohort (n = 8,428 subjects). Tensor-Based Morphometry (TBM) and Independent Component Analysis (ICA) identified the limbic system and its interconnecting white-matter as the most AD-vulnerable brain feature. Whole-genome analysis revealed a common variant in SHARPIN that was associated with this imaging feature (rs34173062, p = 2.1 × 10-10 ). This genetic association was validated in the UK Biobank, where it was correlated with entorhinal cortical thickness bilaterally (p = .002 left and p = 8.6 × 10-4 right), and with parental history of AD (p = 2.3 × 10-6 ). Our findings suggest that neuroanatomical variation in the limbic system and AD risk are associated with a novel variant in SHARPIN. The role of this postsynaptic density gene product in β1-integrin adhesion is in line with the amyloid precursor protein (APP) intracellular signaling pathway and the recent genome-wide evidence.",2020,Sep,Human brain mapping,41,13,3737-3748,,10.1002/hbm.25083,32558014,#1558,Soheili-Nezhad 2020,"",""
